employee_id,employee_name,designation,department,employment_type,email,phone,location,date_of_joining,salary_status
EMP001,Sathish,Founder Owner,Management,Full-Time,sathish@datakalamit.com,9876543210,Chennai,2023-01-10,Active
EMP002,Shiva Vetrivel,Team Member,Engineering,Full-Time,shivavetrivel@datakalamit.com,9876543211,Chennai,2023-03-15,Active
EMP003,Prakash Rajkutty,Admin,Administration,Full-Time,prakashrajkutty@datakalamit.com,9876543212,Chennai,2023-04-20,Active
EMP004,Jayaprakash,HR,Human Resources,Full-Time,jayaprakash@datakalamit.com,9876543213,Chennai,2023-05-05,Active
INT001,Maran,Intern,Data Engineering,Internship,maran@datakalamit.com,9876543214,Chennai,2025-06-01,Active
INT002,Sathish Kumar,Intern,Data Engineering,Internship,sathishkumar@datakalamit.com,9876543215,Chennai,2025-06-03,Active
INT003,Karthikeyan S,Intern,Backend Development,Internship,karthikeyan@datakalamit.com,9876543216,Chennai,2025-06-05,Active
INT004,Arun Prasad,Intern,Cloud Operations,Internship,arunprasad@datakalamit.com,9876543217,Chennai,2025-06-06,Active
INT005,Vignesh Kumar,Intern,Frontend Development,Internship,vigneshkumar@datakalamit.com,9876543218,Chennai,2025-06-07,Active
INT006,Rahul Dev,Intern,DevOps,Internship,rahuldev@datakalamit.com,9876543219,Chennai,2025-06-08,Active
INT007,Naveen Raj,Intern,Testing & QA,Internship,naveenraj@datakalamit.com,9876543220,Chennai,2025-06-09,Active
