employee_id,first_name,last_name,gender,email,phone_number,department,designation,salary,city,state,country,joining_date,employment_status,manager_id,experience_years,performance_rating,bonus_percentage,created_date
10035,Radha!@#,Madan,OTHER,Radha@,+91 6960143529,HR,,0,Narasaraopet,,,31-13-2023,Active,99999999,15.0,4,11.31,18/03/2025
7434,Urmi,CHANDA,OTHER,urmi.chanda@company.com,XXXXXXXXXX,LEGAL,VP123,-10661,NORTH DUMDUM,telangana,,2017-12-21,active,99999999,19.9,4,3.79,2021-11-20
1766,Deepa!@#,  Bawa  ,M,Deepa@,+919964932788,OPERATIONS,Intern123,390453,,,,31-13-2023,INACTIVE,7408,20.7,,21.12,2099-01-01
5788,Bahadurjit,BARMAN,male,DUPLICATE@company.com,123456,,,,PHAGWARA,Punjab,Bharat,2016-04-13,On Leave,-1,13.7,3,-5,
7411,Mason,Pradhan,OTHER,not-an-email,9864223156,,Senior Analyst123,,ICHALKARANJI,,IND,01-01-1900,Inactive,-1,11.8,5,3.52,30/07/2022
5110,Mohini,Prabhu,MALE,DUPLICATE@company.com,+1-913-3967,,,2696722,AMBALA,tripura,india,2009-02-02,INACTIVE,99999999,2.1,2,20.06,12/04/2022
6390,kritika,VENKATESH,M,not-an-email,+91 6022866420,FINANCE,CONSULTANT,999999999,Nagaon,Manipur,INDIA,31-13-2023,On Leave,7932,13.5,4,19.55,2099-01-01
6203,Christopher!@#,Barad,female,Christopher@,+91 8954638206,ENGINEERING,CONSULTANT,2825576,Siwan,arunachal pradesh,Bharat,01-01-1900,INACTIVE,99999999,7.3,5,4.2,2099-01-01
1502,bahadurjit,BARAD,male,Bahadurjit@,9859948088,,MANAGER,408673,Tezpur,Meghalaya,IN,2002-10-17,INACTIVE,NULL,2.1,3,12.76,2021-08-24
3091,KARAN,pathak,OTHER,karan_pathak@company,XXXXXXXXXX,  Sales,VP123,999999999,,arunachal pradesh,IN,2013-08-16,On Leave,-1,3.7,3,8.21,2099-01-01
2711,NANDINI,bath,M,not-an-email,123456,product,CONSULTANT,2220096,,,  india  ,2022/05/10,Terminated,6001,21.2,5,3.83,19/06/2025
